Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.500000,-40.962500,90.000000,bottom
"R1","27k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.250000,-41.000000,90.000000,bottom
"R2","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.000000,-41.000000,-90.000000,bottom
"R8","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.250000,-56.250000,180.000000,bottom
"U2","NHD-C0220BIZ","NHD-C0220BiZ",226.000000,-48.000000,180.000000,bottom
"C2","22uF","CP_Radial_D5.0mm_P2.50mm",141.500000,-62.000000,180.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",145.000000,-69.250000,-90.000000,top
"C4","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",233.500000,-57.500000,0.000000,top
"C5","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",229.000000,-58.250000,-90.000000,top
"D1","1N5819","D_SMA_Handsoldering",131.250000,-43.500000,-90.000000,top
"D2","1N4148","D_SMA_Handsoldering",176.250000,-70.000000,-90.000000,top
"J1","POWER","PinHeader_1x03_P2.54mm_Vertical",130.000000,-62.250000,0.000000,top
"J2","On/Off","PinHeader_1x02_P2.54mm_Vertical",130.000000,-52.500000,0.000000,top
"J3","~","PinHeader_1x20_P2.54mm_Vertical",137.185000,-51.000000,90.000000,top
"J4","~","PinHeader_1x20_P2.54mm_Vertical",137.185000,-36.000000,90.000000,top
"J5","OUT","PinHeader_1x03_P2.54mm_Vertical",143.250000,-76.500000,-90.000000,top
"J6","MODE","PinHeader_1x04_P2.54mm_Vertical",201.000000,-76.250000,-90.000000,top
"Q1","BC549","TO-92_HandSolder",169.750000,-74.480000,-90.000000,top
"R3","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",182.500000,-70.750000,-90.000000,top
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",182.500000,-76.750000,90.000000,top
"R5","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.750000,-76.000000,-90.000000,top
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",221.000000,-55.000000,-90.000000,top
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",225.000000,-55.000000,-90.000000,top
"U1","BA033CC0T","TO-220F-3_Horizontal_TabDown",150.000000,-63.250000,-90.000000,top
