"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"D_SMA_Handsoldering";1;"1N5819";;;
2;"D2";"D_SMA_Handsoldering";1;"1N4148";;;
3;"R6,R4,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10k";;;
4;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"POWER";;;
5;"J5";"PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left";1;"OUT";;;
6;"C3,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100n";;;
7;"R2,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"4.7k";;;
8;"R3,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1k";;;
9;"TP1";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"+3.3V";;;
10;"U1";"TO-220F-3_Horizontal_TabDown";1;"BA033CC0T";;;
11;"J3,J4";"PinHeader_1x20_P2.54mm_Vertical_SMD_Pin1Left";2;"~";;;
12;"C2";"CP_Radial_D5.0mm_P2.50mm";1;"22uF";;;
13;"C4,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF";;;
14;"J2";"PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left";1;"On/Off";;;
15;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"27k";;;
16;"TP2";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"GND";;;
17;"Q1";"TO-126-3_Vertical";1;"BC549";;;
18;"J6";"PinHeader_1x04_P2.54mm_Vertical";1;"MODE";;;
19;"J7";"PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left";1;"DEBUG";;;
20;"J8";"PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left";1;"BTN";;;
21;"U2";"NHD-C0220BiZ";1;"NHD-C0220BIZ";;;
